"SAEMP25N Total Full-Time and Part-Time Employment by NAICS Industry 1/"
"(Number of jobs)" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","LineCode","Description","2000","2017"
"01000","Alabama","","By industry","",""
"01000","Alabama","70","  Farm employment",57264,44478
"01000","Alabama","200","      Mining, quarrying, and oil and gas extraction",9439,10431
"01000","Alabama","500","      Manufacturing",353784,274127
"01000","Alabama","700","      Retail trade",282684,284099
"01000","Alabama","900","      Information",40142,27491
"01000","Alabama","1000","      Finance and insurance",89746,113061
"01000","Alabama","1500","      Educational services",24571,42245
"01000","Alabama","1600","      Health care and social assistance",180532,249921
"01000","Alabama","1700","      Arts, entertainment, and recreation",26393,39432
"01000","Alabama","2000","    Government and government enterprises",385790,403590
"02000","Alaska","","By industry","",""
"02000","Alaska","70","  Farm employment",786,1522
"02000","Alaska","200","      Mining, quarrying, and oil and gas extraction",11623,17182
"02000","Alaska","500","      Manufacturing",13761,16071
"02000","Alaska","700","      Retail trade",42715,45811
"02000","Alaska","900","      Information",8167,7135
"02000","Alaska","1000","      Finance and insurance",11374,11348
"02000","Alaska","1500","      Educational services",3908,6086
"02000","Alaska","1600","      Health care and social assistance",30984,52372
"02000","Alaska","1700","      Arts, entertainment, and recreation",8635,10946
"02000","Alaska","2000","    Government and government enterprises",96681,102991
"04000","Arizona","","By industry","",""
"04000","Arizona","70","  Farm employment",19657,31174
"04000","Arizona","200","      Mining, quarrying, and oil and gas extraction",12630,21426
"04000","Arizona","500","      Manufacturing",219420,178653
"04000","Arizona","700","      Retail trade",325921,401468
"04000","Arizona","900","      Information",61447,57479
"04000","Arizona","1000","      Finance and insurance",150697,243106
"04000","Arizona","1500","      Educational services",28969,80798
"04000","Arizona","1600","      Health care and social assistance",223094,418262
"04000","Arizona","1700","      Arts, entertainment, and recreation",54815,83459
"04000","Arizona","2000","    Government and government enterprises",388749,449548
"05000","Arkansas","","By industry","",""
"05000","Arkansas","70","  Farm employment",63839,53334
